,open,close,high,low,volume,money,avg,high_limit,low_limit,pre_close,paused,factor
2005-01-04 09:31:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,,0.0,0.6601106330669945
2005-01-04 09:32:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:33:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:34:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:35:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:36:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:37:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:38:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:39:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:40:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:41:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:42:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:43:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:44:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:45:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:46:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:47:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:48:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:49:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:50:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:51:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:52:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:53:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:54:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:55:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:56:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:57:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:58:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 09:59:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:00:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:01:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:02:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:03:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:04:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:05:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:06:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:07:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:08:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:09:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:10:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:11:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:12:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:13:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:14:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:15:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:16:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:17:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:18:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:19:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:20:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:21:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:22:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:23:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:24:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:25:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:26:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:27:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:28:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:29:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:30:00,1.85,1.85,1.85,1.85,0.0,0.0,1.85,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:31:00,1.95,1.95,1.95,1.95,239960.0,467427.0,1.95,1.95,1.76,1.85,0.0,0.6601106330669945
2005-01-04 10:32:00,1.95,1.95,1.95,1.95,43023.0,83928.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:33:00,1.95,1.95,1.95,1.95,1969.0,3835.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:34:00,1.95,1.95,1.95,1.95,5908.0,11505.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:35:00,1.95,1.95,1.95,1.95,3939.0,7670.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:36:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:37:00,1.95,1.95,1.95,1.95,11665.0,22715.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:38:00,1.95,1.95,1.95,1.95,1515.0,2950.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:39:00,1.95,1.95,1.95,1.95,454.0,885.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:40:00,1.95,1.95,1.95,1.95,8483.0,16520.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:41:00,1.95,1.95,1.95,1.95,909.0,1770.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:42:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:43:00,1.95,1.95,1.95,1.95,2727.0,5310.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:44:00,1.95,1.95,1.95,1.95,454.0,885.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:45:00,1.95,1.95,1.95,1.95,454.0,885.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:46:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:47:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:48:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:49:00,1.95,1.95,1.95,1.95,1515.0,2950.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:50:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:51:00,1.95,1.95,1.95,1.95,151.0,295.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:52:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:53:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:54:00,1.95,1.95,1.95,1.95,757.0,1475.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:55:00,1.95,1.95,1.95,1.95,3030.0,5900.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:56:00,1.95,1.95,1.95,1.95,1515.0,2950.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:57:00,1.95,1.95,1.95,1.95,4545.0,8850.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:58:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 10:59:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:00:00,1.95,1.95,1.95,1.95,303.0,590.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:01:00,1.95,1.95,1.95,1.95,303.0,590.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:02:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:03:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:04:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:05:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:06:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:07:00,1.95,1.95,1.95,1.95,151.0,295.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:08:00,1.95,1.95,1.95,1.95,9847.0,19175.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:09:00,1.95,1.95,1.95,1.95,3030.0,5900.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
2005-01-04 11:10:00,1.95,1.95,1.95,1.95,0.0,0.0,1.95,1.95,1.76,1.95,0.0,0.6601106330669945
